Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column11;Column12;Column13
?јдр;«нчн;IP;CR;AR;DR;SP;BR;AC;NZVC;јдр;«нчн
314;0200;314;0000;000;0000;000;0000;0000;0100;;
314;0200;315;0200;314;0200;000;0314;0000;0100;;
315;EE17;316;EE17;32D;0000;000;0017;0000;0100;32D;0000
316;AE15;317;AE15;32C;F1D2;000;0015;F1D2;1000;;
317;0C00;318;0C00;7FF;F1D2;7FF;0317;F1D2;1000;7FF;F1D2
318;D66E;66E;D66E;7FE;0319;7FE;D66E;F1D2;1000;7FE;0319
66E;AC01;66F;AC01;7FF;F1D2;7FE;0001;F1D2;1000;;
66F;F001;670;F001;66F;F001;7FE;066F;F1D2;1000;;
670;F304;671;F304;670;F304;7FE;0670;F1D2;1000;;
671;6E0A;672;6E0A;67C;F7BD;7FE;000A;FA15;1000;;
672;F201;674;F201;672;F201;7FE;0001;FA15;1000;;
674;4E07;675;4E07;67C;F7BD;7FE;0007;F1D2;1001;;
675;4C01;676;4C01;7FF;F1D2;7FE;0001;E3A4;1001;;
676;4C01;677;4C01;7FF;F1D2;7FE;0001;D576;1001;;
677;6E05;678;6E05;67D;001F;7FE;0005;D557;1001;;
678;CE01;67A;CE01;678;067A;7FE;0001;D557;1001;;
67A;EC01;67B;EC01;7FF;D557;7FE;0001;D557;1001;7FF;D557
67B;0A00;319;0A00;7FE;0319;7FF;067B;D557;1001;;
319;0800;31A;0800;7FF;D557;000;0319;D557;1001;;
31A;4E12;31B;4E12;32D;0000;000;0012;D557;1000;;
31B;EE11;31C;EE11;32D;D557;000;0011;D557;1000;32D;D557
31C;AE0D;31D;AE0D;32A;002A;000;000D;002A;0000;;
31D;0C00;31E;0C00;7FF;002A;7FF;031D;002A;0000;7FF;002A
31E;D66E;66E;D66E;7FE;031F;7FE;D66E;002A;0000;7FE;031F
66E;AC01;66F;AC01;7FF;002A;7FE;0001;002A;0000;;
66F;F001;670;F001;66F;F001;7FE;066F;002A;0000;;
670;F304;675;F304;670;F304;7FE;0004;002A;0000;;
675;4C01;676;4C01;7FF;002A;7FE;0001;0054;0000;;
676;4C01;677;4C01;7FF;002A;7FE;0001;007E;0000;;
677;6E05;678;6E05;67D;001F;7FE;0005;005F;0001;;
678;CE01;67A;CE01;678;067A;7FE;0001;005F;0001;;
67A;EC01;67B;EC01;7FF;005F;7FE;0001;005F;0001;7FF;005F
67B;0A00;31F;0A00;7FE;031F;7FF;067B;005F;0001;;
31F;0800;320;0800;7FF;005F;000;031F;005F;0001;;
320;6E0C;321;6E0C;32D;D557;000;000C;2B08;0000;;
321;EE0B;322;EE0B;32D;2B08;000;000B;2B08;0000;32D;2B08
322;AE08;323;AE08;32B;0E44;000;0008;0E44;0000;;
323;0700;324;0700;323;0700;000;0323;0E45;0000;;
324;0C00;325;0C00;7FF;0E45;7FF;0324;0E45;0000;7FF;0E45
325;D66E;66E;D66E;7FE;0326;7FE;D66E;0E45;0000;7FE;0326
66E;AC01;66F;AC01;7FF;0E45;7FE;0001;0E45;0000;;
66F;F001;670;F001;66F;F001;7FE;066F;0E45;0000;;
670;F304;675;F304;670;F304;7FE;0004;0E45;0000;;
675;4C01;676;4C01;7FF;0E45;7FE;0001;1C8A;0000;;
676;4C01;677;4C01;7FF;0E45;7FE;0001;2ACF;0000;;
677;6E05;678;6E05;67D;001F;7FE;0005;2AB0;0001;;
678;CE01;67A;CE01;678;067A;7FE;0001;2AB0;0001;;
67A;EC01;67B;EC01;7FF;2AB0;7FE;0001;2AB0;0001;7FF;2AB0
67B;0A00;326;0A00;7FE;0326;7FF;067B;2AB0;0001;;
326;0800;327;0800;7FF;2AB0;000;0326;2AB0;0001;;
327;6E05;328;6E05;32D;2B08;000;0005;FFA8;1000;;
328;EE04;329;EE04;32D;FFA8;000;0004;FFA8;1000;32D;FFA8
329;0100;32A;0100;329;0100;000;0329;FFA8;1000;;
